acc_x,acc_y,acc_z,acc_magnitude,acc_variance,temperature,temp_deviation,heart_rate,respiration_rate,activity_index,rumination_rate,hr_rolling_std,hr_rolling_range,activity_rolling_std,activity_rolling_range,movement_consistency,resp_hr_ratio,health_state,health_label
0.0347,-0.0014,9.8082,9.8083,4.6e-05,37.89,0.71,46.4,14.3,0.0379,19.2,3.5438,12.67,0.0148,0.0605,882.5453,0.3091,3,Inactive
0.6065,0.2011,9.5158,9.5372,0.029778,38.89,0.29,63.1,19.8,1.1018,66.2,6.8619,30.12,0.3817,1.3906,44.4408,0.3139,0,Healthy
0.0329,-0.0338,9.7718,9.7719,0.002818,37.5,1.1,107.4,45.4,0.1049,22.8,14.2682,63.42,0.1716,0.7011,173.5704,0.4224,1,Sick
-0.0114,-0.0264,9.7859,9.786,0.000148,37.86,0.74,47.0,13.8,0.0618,19.7,3.9386,18.36,0.0206,0.0864,795.878,0.2939,3,Inactive
0.0485,0.0302,9.7974,9.7976,0.001978,40.36,1.76,124.3,11.8,0.0913,28.5,19.5246,85.97,0.3762,2.143,218.3145,0.0947,1,Sick
0.0267,-0.0052,9.8,9.8,0.000145,37.95,0.65,46.6,14.3,0.0419,15.3,3.1344,13.29,0.0189,0.0754,934.4454,0.307,3,Inactive
0.3397,0.4531,9.7416,9.758,0.069034,38.66,0.06,58.1,23.5,0.8612,54.3,8.1852,35.08,0.2761,1.3452,41.3402,0.4046,0,Healthy
0.0177,-0.0073,9.8181,9.8181,9.4e-05,37.7,0.9,40.6,13.5,0.033,25.2,4.398,20.58,0.0169,0.0744,1109.8723,0.3334,3,Inactive
0.133,1.1277,9.0445,9.1155,0.201399,39.24,0.64,91.8,41.1,2.0261,31.7,9.7195,41.34,0.8218,3.279,20.9987,0.4476,2,Stressed
-0.0073,0.0187,9.8016,9.8016,8.2e-05,37.63,0.97,53.5,15.0,0.0344,21.9,3.5679,15.99,0.0166,0.0589,818.03,0.2813,3,Inactive
0.4938,0.3579,9.5703,9.5897,0.015526,38.81,0.21,69.2,21.1,1.0913,60.8,7.5433,30.91,0.2894,1.2454,63.1794,0.3051,0,Healthy
-0.0448,0.0368,9.7593,9.7595,0.002607,40.7,2.1,99.1,47.8,0.1323,11.4,18.628,78.81,0.1572,0.8666,170.2014,0.4829,1,Sick
0.0593,0.0576,9.8382,9.8385,0.001635,40.16,1.56,86.0,39.6,0.1451,18.1,17.4379,76.45,0.1795,0.7166,161.5687,0.461,1,Sick
0.0482,-0.0276,9.8339,9.834,0.00219,40.01,1.41,79.6,13.8,0.0997,19.8,17.4122,69.62,0.3769,2.143,213.797,0.1737,1,Sick
0.0103,-0.0062,9.8042,9.8042,4.7e-05,37.85,0.75,49.2,12.2,0.0223,22.0,3.5192,13.67,0.0141,0.0537,925.7234,0.2481,3,Inactive
-0.4081,-0.6251,9.8207,9.849,0.002757,40.2,1.6,97.6,40.7,1.0438,14.4,17.9801,59.35,0.4442,1.6471,168.9954,0.4171,1,Sick
0.7169,-0.3654,11.0351,11.0644,0.211565,39.32,0.72,115.7,32.2,2.3074,21.2,9.5995,35.38,0.6907,3.0039,21.5382,0.2782,2,Stressed
0.6054,0.5694,9.7023,9.7378,0.031747,38.68,0.08,72.0,32.8,1.2825,60.7,7.1108,26.23,0.342,1.4899,46.0681,0.4553,0,Healthy
-0.0113,0.0103,9.8376,9.8377,0.001093,36.65,1.95,68.0,37.2,0.0492,18.4,17.8617,66.51,0.1636,0.7381,193.3726,0.5474,1,Sick
0.7688,-0.2941,10.0245,10.0582,0.197495,39.86,1.26,93.5,40.7,1.2774,12.8,10.1629,42.54,0.8224,4.0182,19.8413,0.4353,2,Stressed
0.3503,1.3685,9.3579,9.4639,0.211641,39.06,0.46,93.1,39.0,2.1709,34.3,11.8435,42.54,0.6055,2.1335,20.9791,0.4185,2,Stressed
-0.1535,0.1138,10.2889,10.2906,0.051582,38.33,0.27,61.5,17.9,0.7462,67.8,6.9053,26.4,0.3298,1.5656,43.496,0.2903,0,Healthy
0.0367,0.0001,9.8094,9.8095,0.000167,38.31,0.29,42.0,12.8,0.0374,19.5,4.1332,13.59,0.021,0.0814,832.2327,0.3057,3,Inactive
-0.3928,0.1085,9.7488,9.7573,0.04055,38.64,0.04,55.2,19.8,0.5624,58.6,6.7276,29.72,0.3377,1.2333,48.0905,0.3582,0,Healthy
-0.0032,0.0023,9.8077,9.8077,0.000128,38.0,0.6,47.8,13.0,0.0078,9.4,4.0277,19.19,0.019,0.0787,826.1293,0.2708,3,Inactive
0.2755,0.2023,9.8866,9.8925,0.053143,38.52,0.08,78.9,21.1,0.5544,58.1,7.0065,27.74,0.2626,0.9894,41.363,0.267,0,Healthy
-0.036,0.0044,9.809,9.809,0.002155,40.17,1.57,57.2,15.1,0.0414,14.8,18.7609,69.98,0.3251,1.4795,213.4146,0.2643,1,Sick
0.0077,0.0535,9.7629,9.7631,0.001513,40.73,2.13,104.0,9.8,0.1082,10.4,21.9432,87.16,0.1213,0.5074,212.139,0.094,1,Sick
0.5223,0.3168,9.9739,9.9926,0.069621,38.12,0.48,65.5,21.2,1.003,53.0,7.6257,38.36,0.3032,1.1758,41.6074,0.3239,0,Healthy
0.9199,0.0884,9.9012,9.9443,0.018502,38.81,0.21,59.1,26.1,1.0995,66.9,6.2164,24.32,0.3542,1.4101,48.5709,0.4406,0,Healthy
0.0931,-0.3784,9.8132,9.821,0.002522,40.36,1.76,99.9,12.8,0.4747,1.4,16.5649,67.25,0.1682,0.9055,218.6361,0.128,1,Sick
0.0302,-0.0178,9.8185,9.8186,0.00013,37.68,0.92,47.2,11.3,0.0565,18.7,3.2633,14.29,0.0182,0.0762,845.9149,0.239,3,Inactive
0.1022,0.0546,9.7609,9.7616,0.002749,41.01,2.41,102.0,6.5,0.2059,19.9,19.5969,85.66,0.3087,1.4168,184.3511,0.0636,1,Sick
0.0115,-0.0001,9.8211,9.8211,7.1e-05,38.22,0.38,44.7,14.5,0.0227,17.8,4.5015,16.08,0.0152,0.0654,818.7471,0.3249,3,Inactive
0.1077,-0.0565,9.7619,9.7627,0.002736,36.83,1.77,76.2,27.6,0.2122,15.2,18.8363,88.65,0.1844,0.8157,174.9485,0.3628,1,Sick
0.0238,0.0105,9.8044,9.8044,0.000106,37.66,0.94,45.5,15.4,0.04,29.1,4.8312,24.26,0.016,0.0742,780.455,0.3387,3,Inactive
-0.005,-0.0121,9.7887,9.7887,0.003528,40.92,2.32,77.6,43.9,0.0385,20.7,17.103,76.1,0.1424,0.6442,177.4636,0.566,1,Sick
0.0065,0.0054,9.8192,9.8192,5.2e-05,38.03,0.57,45.2,12.3,0.0212,18.9,3.6795,14.75,0.0137,0.0512,870.542,0.2712,3,Inactive
-0.0656,0.0769,9.7864,9.7869,0.001929,40.46,1.86,93.3,34.9,0.1661,20.7,22.0966,76.13,0.1278,0.6495,178.4376,0.3735,1,Sick
0.0533,-0.0591,9.8713,9.8716,0.000968,40.7,2.1,112.1,15.6,0.1736,24.3,17.6408,67.9,0.3163,1.3055,184.6175,0.1393,1,Sick
0.4839,0.5126,9.8054,9.8307,0.042851,39.11,0.51,70.8,21.3,1.0011,57.9,8.4654,40.15,0.3053,1.0925,48.5339,0.3013,0,Healthy
0.0062,-0.0211,9.8029,9.803,7.2e-05,37.95,0.65,54.0,12.0,0.0344,22.0,3.7312,11.91,0.0166,0.0682,1001.4873,0.2227,3,Inactive
-0.2086,0.8181,8.9548,8.9945,0.18131,39.35,0.75,95.6,36.0,1.882,24.5,8.7961,35.18,0.617,2.7854,21.4131,0.3768,2,Stressed
0.3258,-0.3519,9.8192,9.8309,0.012223,38.44,0.16,64.2,27.2,0.6869,55.9,7.6877,30.15,0.2647,1.1578,52.6593,0.4231,0,Healthy
-0.0761,-0.2991,9.9533,9.9581,0.025896,38.62,0.02,58.9,19.8,0.5184,68.1,6.7559,28.87,0.2327,1.0657,51.1004,0.3365,0,Healthy
0.0238,0.0076,9.8088,9.8088,0.000116,38.05,0.55,47.2,11.7,0.0326,35.6,3.7232,14.71,0.0141,0.0567,864.1172,0.2488,3,Inactive
0.0866,0.0524,9.8477,9.8483,0.002079,36.92,1.68,96.3,19.1,0.1767,15.4,18.5202,72.36,0.476,1.8508,164.1356,0.1978,1,Sick
0.0102,0.0197,9.791,9.791,9.4e-05,38.12,0.48,48.7,16.3,0.0489,24.2,3.5112,15.55,0.0141,0.057,1057.7882,0.335,3,Inactive
0.8861,0.383,9.4621,9.5112,0.158243,38.47,0.13,71.4,37.9,1.617,39.6,11.2451,48.83,0.5982,2.4143,22.2723,0.5308,2,Stressed
0.0058,0.0143,9.8469,9.8469,0.000823,40.36,1.76,89.8,11.2,0.0569,14.3,18.6611,63.97,0.32,1.728,230.5924,0.1248,1,Sick
0.5559,0.74,9.6082,9.6526,0.101886,39.81,1.21,111.5,39.1,1.4977,19.3,10.3341,42.88,0.6727,2.8983,23.4408,0.3506,2,Stressed
0.0461,0.3677,9.6801,9.6872,0.085097,38.86,0.26,73.6,18.0,0.5436,69.8,7.4382,27.29,0.2584,1.0351,41.4516,0.2446,0,Healthy
-0.0128,-0.0389,9.77,9.7701,0.001588,37.11,1.49,84.0,38.4,0.0917,7.2,21.7982,89.27,0.2239,0.9141,233.3648,0.4576,1,Sick
-0.2096,-0.0209,9.7714,9.7737,0.002876,41.07,2.47,86.5,43.6,0.2691,29.9,18.4497,78.47,0.1183,0.6288,207.0051,0.5037,1,Sick
-0.0427,0.0102,9.8285,9.8286,0.000842,40.36,1.76,100.7,51.2,0.0715,22.2,15.887,60.71,0.1054,0.4408,179.7048,0.5083,1,Sick
-0.0042,0.0121,9.8107,9.8107,8.4e-05,37.67,0.93,46.0,13.6,0.017,28.0,4.1832,17.65,0.016,0.0604,936.6805,0.2962,3,Inactive
-0.0511,0.1453,9.8102,9.8114,0.028908,38.98,0.38,63.7,15.9,0.1966,49.5,7.1875,36.44,0.3452,1.4734,48.7608,0.2496,0,Healthy
-1.2046,-0.0012,9.942,10.0147,0.091707,39.73,1.13,98.0,27.6,1.3378,43.6,7.6598,40.56,0.8149,3.071,21.7928,0.2813,2,Stressed
0.0037,-0.0043,9.795,9.795,9.1e-05,37.76,0.84,47.6,16.7,0.023,13.8,4.3109,17.33,0.0201,0.0799,1065.2732,0.3511,3,Inactive
0.2175,0.0615,10.2197,10.2222,0.027626,38.86,0.26,60.8,26.0,0.6888,65.0,5.1072,21.38,0.258,0.9497,59.5585,0.4277,0,Healthy
-0.0102,0.0024,9.7949,9.7949,7.2e-05,37.74,0.86,42.4,14.9,0.0277,23.0,4.2668,16.42,0.0163,0.0674,860.0319,0.3515,3,Inactive
-0.2397,0.1255,9.6667,9.6705,0.042208,38.38,0.22,70.9,19.5,0.5085,51.2,7.182,33.08,0.3006,1.1992,42.1426,0.275,0,Healthy
1.4174,0.4913,9.187,9.3087,0.223642,39.52,0.92,106.7,50.5,2.5316,33.0,12.3379,48.32,0.7125,3.0993,23.9243,0.4731,2,Stressed
0.08,0.0548,9.8756,9.8761,0.003373,40.3,1.7,83.0,13.7,0.2004,10.7,23.143,89.67,0.3126,1.4507,189.543,0.1651,1,Sick
0.5706,0.0352,10.1327,10.1488,0.306729,38.91,0.31,115.1,35.8,0.9285,36.0,9.4438,40.47,0.6127,2.7908,23.2457,0.3114,2,Stressed
0.0416,0.0542,9.7326,9.7329,0.003904,40.39,1.79,76.6,54.4,0.1731,25.8,14.4189,52.46,0.2135,1.2476,163.4425,0.7105,1,Sick
0.0569,0.0591,9.864,9.8643,0.002675,40.29,1.69,66.3,44.4,0.17,29.7,15.9806,71.53,0.2704,1.3914,182.2314,0.6699,1,Sick
-0.1077,0.0954,9.8099,9.8109,0.004034,37.61,0.99,93.9,56.5,0.2033,14.2,17.076,69.49,0.4306,1.7512,167.3276,0.6016,1,Sick
0.0234,0.0175,9.8069,9.8069,7.3e-05,37.75,0.85,46.7,12.9,0.0441,33.2,3.7541,15.94,0.0161,0.076,1018.1303,0.2752,3,Inactive
-0.0082,-0.0235,9.8057,9.8057,7.7e-05,37.86,0.74,41.1,16.7,0.036,24.5,3.7666,14.03,0.0144,0.0622,985.4928,0.4056,3,Inactive
-0.0191,0.4793,10.6328,10.6436,0.203646,39.16,0.56,103.4,35.9,1.3212,32.6,9.1805,40.73,0.6651,2.9449,21.6193,0.347,2,Stressed
0.0244,-0.0088,9.8259,9.826,0.000135,37.93,0.67,45.8,14.2,0.0491,27.7,3.9778,15.91,0.0159,0.0711,780.1086,0.3095,3,Inactive
-0.0145,0.0033,9.8069,9.8069,0.000154,38.04,0.56,49.8,13.8,0.0209,19.1,3.4814,16.0,0.0174,0.0657,915.9754,0.2776,3,Inactive
0.2244,0.3528,9.8249,9.8338,0.040055,38.51,0.09,59.1,16.9,0.5921,58.2,6.7282,26.91,0.3027,1.0993,44.0674,0.2861,0,Healthy
0.3917,-0.088,9.7854,9.7937,0.00333,40.06,1.46,69.8,16.9,0.5043,14.6,15.6086,53.83,0.2182,1.2476,159.4008,0.2413,1,Sick
0.163,0.0042,9.8634,9.8648,0.001874,37.16,1.44,94.7,29.7,0.2207,16.7,17.5883,83.27,0.2353,1.3515,267.6846,0.3138,1,Sick
-0.0171,-0.0004,9.8111,9.8111,4.2e-05,37.71,0.89,49.2,13.6,0.0186,19.8,3.7825,13.68,0.0161,0.0625,912.9411,0.2766,3,Inactive
-0.0013,-0.0014,9.8006,9.8006,0.00013,37.63,0.97,46.4,14.6,0.012,19.8,4.9929,22.01,0.019,0.0845,891.8063,0.314,3,Inactive
0.0171,-0.0189,9.7995,9.7996,0.000105,38.02,0.58,46.8,16.4,0.0464,37.2,4.4341,18.17,0.0189,0.0783,770.9314,0.3507,3,Inactive
0.5883,0.7837,9.5694,9.6194,0.316378,38.91,0.31,116.9,34.9,1.6127,12.7,8.5996,34.59,0.6666,2.9769,22.4775,0.2983,2,Stressed
0.3754,0.2351,9.8314,9.8414,0.021396,38.05,0.55,75.9,28.6,0.6319,70.1,8.1544,34.38,0.288,1.1737,59.7652,0.3772,0,Healthy
0.933,0.1647,9.6846,9.7308,0.175423,39.36,0.76,93.2,46.1,1.2231,16.9,8.9681,32.05,0.6649,2.3447,21.4236,0.4947,2,Stressed
0.0498,-0.0846,9.8252,9.8257,0.003107,40.64,2.04,45.2,32.1,0.1496,11.4,19.1627,79.27,0.4008,1.8249,154.2898,0.7088,1,Sick
-0.0024,0.0086,9.8067,9.8067,9.7e-05,38.16,0.44,44.1,16.1,0.0144,17.0,4.3046,15.74,0.0186,0.0819,988.244,0.3645,3,Inactive
0.8757,0.2607,9.6556,9.6987,0.19971,39.32,0.72,99.1,37.8,1.2908,32.6,8.2102,30.01,0.5698,2.1687,23.6976,0.3813,2,Stressed
0.005,0.1579,9.7868,9.7881,0.020702,38.92,0.32,69.6,27.2,0.1861,56.5,6.411,26.67,0.3386,1.2584,43.9093,0.3907,0,Healthy
0.3041,0.183,10.1967,10.2028,0.062092,38.59,0.01,69.4,20.8,0.8738,58.9,6.9509,29.4,0.2401,0.9912,41.197,0.3005,0,Healthy
0.034,0.0112,9.8054,9.8055,0.000148,38.2,0.4,46.4,14.2,0.0498,24.1,3.4133,12.33,0.0221,0.1079,854.4909,0.3069,3,Inactive
0.0004,0.0183,9.8062,9.8063,0.000139,38.03,0.57,53.0,11.1,0.0224,22.8,4.5795,17.56,0.0116,0.0459,886.9682,0.2095,3,Inactive
0.5158,-0.0646,9.6901,9.704,0.050486,38.32,0.28,62.3,23.9,0.7004,53.5,7.2445,29.8,0.2509,0.9595,42.3922,0.3832,0,Healthy
0.1139,0.1151,10.3499,10.3512,0.334404,39.7,1.1,118.7,33.6,0.7689,18.9,10.5108,37.75,0.7416,3.2352,23.6353,0.2834,2,Stressed
0.0896,-0.0631,10.1482,10.1488,0.093776,39.84,1.24,75.8,48.6,0.4909,47.2,10.1465,36.51,0.7042,2.3955,24.9661,0.6407,2,Stressed
-0.0161,-0.0284,9.9032,9.9033,0.002477,40.23,1.63,68.2,11.1,0.1377,5.2,20.0492,92.03,0.2627,1.0965,205.1732,0.1626,1,Sick
-0.0579,0.2117,9.8521,9.8545,0.016689,38.9,0.3,67.2,27.0,0.3117,49.4,5.2633,20.77,0.3092,1.5809,59.1718,0.4011,0,Healthy
-0.0307,-0.0076,9.8063,9.8064,6.3e-05,37.77,0.83,52.8,14.3,0.042,24.5,4.1331,17.16,0.0139,0.0478,1073.022,0.2712,3,Inactive
0.0763,-0.0765,9.7905,9.7911,0.001928,40.49,1.89,90.8,47.7,0.1723,15.6,16.2312,51.23,0.2007,1.1228,191.8169,0.5254,1,Sick
0.0553,0.0091,9.8026,9.8028,5.3e-05,37.96,0.64,49.3,13.9,0.0717,29.2,4.533,18.66,0.0195,0.0689,980.2971,0.2822,3,Inactive
-0.1803,0.5544,9.7462,9.7637,0.019051,38.55,0.05,71.5,28.5,0.7985,61.5,7.2003,27.49,0.2839,1.1737,59.7742,0.3985,0,Healthy
-0.3419,0.4266,9.7197,9.7351,0.030361,38.49,0.11,58.6,24.8,0.8588,55.5,7.1909,29.8,0.232,0.8563,45.3849,0.4236,0,Healthy
0.0595,0.0738,9.8898,9.8903,0.003916,36.84,1.76,62.6,48.5,0.2131,2.4,14.2997,50.98,0.2329,1.0331,176.3452,0.7745,1,Sick
0.6068,1.0166,10.7356,10.8007,0.145616,39.58,0.98,96.2,34.6,2.549,54.5,8.4049,30.99,0.7658,2.7572,28.5813,0.3601,2,Stressed
0.1968,0.004,9.84,9.8419,0.001365,36.93,1.67,118.2,16.4,0.2308,27.2,20.1562,71.56,0.2211,1.2599,232.6655,0.1389,1,Sick
-0.0033,0.0069,9.8178,9.8179,5.5e-05,38.02,0.58,54.3,12.9,0.018,16.5,4.0886,15.91,0.0154,0.0662,873.7792,0.2383,3,Inactive
-0.532,0.017,9.2596,9.2749,0.381474,39.49,0.89,94.0,34.3,1.0993,41.9,12.5198,40.61,0.5965,2.7685,20.4454,0.3644,2,Stressed
0.0107,-0.0605,9.8986,9.8988,0.002625,36.69,1.91,118.2,8.6,0.1598,12.7,19.3999,75.58,0.5159,1.6471,174.3073,0.0731,1,Sick
0.0303,-0.0035,9.8159,9.816,0.003087,41.09,2.49,69.9,41.4,0.0397,14.8,15.8964,64.18,0.3185,1.4051,201.1794,0.5926,1,Sick
0.1008,-0.0617,9.7448,9.7455,0.002665,40.33,1.73,103.2,14.6,0.2277,13.8,13.6743,70.78,0.3403,1.4708,209.9269,0.1414,1,Sick
-0.0075,0.0252,9.7245,9.7245,0.003587,37.19,1.41,93.4,42.4,0.1182,23.5,17.7919,87.42,0.3093,1.0415,163.6544,0.4544,1,Sick
-0.0238,0.0046,9.8195,9.8195,9.2e-05,37.76,0.84,46.0,17.8,0.0379,27.9,4.3838,16.93,0.0183,0.0674,894.5219,0.3875,3,Inactive
0.2725,0.0294,9.9142,9.9179,0.047902,38.57,0.03,71.0,21.2,0.406,63.3,6.4847,25.83,0.3242,1.1614,46.7357,0.2983,0,Healthy
1.1223,0.5672,9.9091,9.9886,0.170931,38.9,0.3,101.0,48.0,1.7887,22.3,9.8248,46.38,0.8519,3.0637,25.1636,0.4753,2,Stressed
-0.038,-0.0515,9.8041,9.8043,0.000686,40.2,1.6,93.8,14.7,0.0954,13.7,14.0439,53.82,0.2595,1.2335,193.696,0.1565,1,Sick
0.2515,0.0365,9.8371,9.8404,0.040472,38.53,0.07,58.3,28.3,0.3152,66.0,6.2325,23.97,0.3093,1.1362,45.5202,0.4859,0,Healthy
0.4134,0.2885,10.6249,10.6369,0.159228,39.46,0.86,103.6,37.0,1.5169,46.8,11.7903,51.63,0.5536,2.2666,20.4642,0.357,2,Stressed
0.0107,0.0097,9.808,9.808,5.1e-05,37.94,0.66,45.5,12.9,0.0224,28.9,4.1835,17.65,0.0155,0.0604,914.666,0.2834,3,Inactive
-0.0076,0.0003,9.8081,9.8081,0.000178,37.86,0.74,48.1,14.3,0.0098,23.7,4.5531,15.65,0.0209,0.0846,769.8936,0.2981,3,Inactive
0.354,0.047,9.9878,9.9942,0.043203,38.21,0.39,69.7,24.1,0.5788,57.2,7.346,30.15,0.2865,1.311,49.2168,0.3454,0,Healthy
1.0162,-0.6149,9.6572,9.73,0.300645,39.97,1.37,104.7,34.3,1.7839,44.3,9.9135,54.13,0.7671,2.8945,20.8061,0.3272,2,Stressed
-0.0469,-0.1871,9.6577,9.6596,0.05227,37.97,0.63,60.3,19.0,0.3863,57.4,6.4765,29.72,0.3437,1.2333,48.0322,0.3154,0,Healthy
0.0159,0.0162,9.7979,9.798,0.000179,38.03,0.57,43.0,15.3,0.0442,18.7,4.5852,23.61,0.0179,0.0784,928.7172,0.3558,3,Inactive
0.5076,0.5639,9.9734,10.0022,0.062766,38.7,0.1,57.1,25.0,1.2349,74.8,6.8775,30.26,0.3138,1.3522,48.9292,0.437,0,Healthy
-0.0164,0.0231,9.8084,9.8084,5.5e-05,37.81,0.79,40.3,12.9,0.0412,23.2,4.424,17.83,0.0169,0.0716,1171.0167,0.3211,3,Inactive
0.5463,1.0577,9.4358,9.5106,0.201406,39.29,0.69,88.2,39.6,1.9782,14.2,10.2891,40.92,0.7293,3.121,21.9176,0.4487,2,Stressed
-0.1064,-0.0427,9.9177,9.9183,0.060255,38.49,0.11,61.2,28.4,0.2568,72.0,6.485,24.49,0.3394,1.5656,45.1818,0.4632,0,Healthy
-0.0191,0.0299,9.7911,9.7911,0.000114,38.25,0.35,53.5,11.8,0.0679,26.6,5.3013,23.18,0.0203,0.0685,941.3041,0.2215,3,Inactive
0.4473,1.2344,9.1149,9.209,0.129289,39.42,0.82,109.4,34.2,2.3768,44.4,10.1543,37.45,0.7288,2.6315,26.2334,0.3123,2,Stressed
0.2968,-0.1871,10.0518,10.0579,0.222998,39.62,1.02,94.7,48.0,0.7256,20.4,11.4218,49.88,0.7276,3.0005,30.3457,0.5066,2,Stressed
0.1022,0.2511,9.9834,9.9871,0.034429,38.71,0.11,75.3,21.6,0.5267,43.9,7.0982,27.72,0.3089,1.0349,50.6984,0.2865,0,Healthy
0.583,0.018,10.0645,10.0814,0.012545,38.63,0.03,74.4,29.9,0.8555,60.8,6.4501,33.62,0.2579,0.8681,65.0605,0.4012,0,Healthy
0.1035,0.0923,9.7606,9.7616,0.001804,39.5,0.9,111.4,58.4,0.2451,4.4,13.825,60.68,0.2977,1.2241,208.2472,0.524,1,Sick
0.3524,0.5901,10.3556,10.3784,0.194485,39.72,1.12,96.7,43.7,1.4881,40.9,8.591,41.57,0.6809,3.0927,22.7597,0.4513,2,Stressed
0.3858,1.1945,10.4853,10.5602,0.169053,39.27,0.67,107.1,37.6,2.2556,22.3,9.4256,34.86,0.7231,2.4244,22.3719,0.3513,2,Stressed
0.0683,0.0695,9.8925,9.893,0.006544,40.17,1.57,100.0,9.6,0.2203,13.2,20.0274,103.86,0.2931,1.0323,182.264,0.0956,1,Sick
0.0156,-0.0212,9.8102,9.8103,0.000115,37.75,0.85,48.7,10.7,0.037,21.3,3.9852,15.22,0.0175,0.0681,747.4895,0.2193,3,Inactive
0.8857,0.3917,9.7359,9.7839,0.034065,39.28,0.68,105.7,52.9,1.3515,26.2,10.9416,54.22,0.7123,2.7387,22.4443,0.5005,2,Stressed
0.6369,0.6754,9.968,10.0112,0.18763,38.73,0.13,118.0,44.6,1.4703,23.8,9.5018,38.0,0.6721,2.4315,24.4965,0.3783,2,Stressed
1.0483,1.2968,9.4642,9.61,0.223302,39.9,1.3,97.2,56.0,2.6909,41.7,9.6325,41.69,0.5613,2.3442,18.4091,0.5764,2,Stressed
0.7647,-0.0451,10.0609,10.09,0.070655,38.75,0.15,71.6,21.8,1.0607,44.7,6.4909,24.49,0.3314,1.5656,43.4251,0.304,0,Healthy
0.538,0.0769,9.868,9.883,0.074104,39.62,1.02,85.7,41.6,0.6729,28.1,7.9643,31.36,0.8446,3.1539,25.5927,0.4848,2,Stressed
0.0814,0.0438,9.7913,9.7917,0.004643,40.72,2.12,89.8,44.1,0.1439,12.4,22.0894,105.8,0.2653,1.0087,168.4561,0.4913,1,Sick
